 Mh3     Width   
76600   4.66335E+08  
77500   4.82967E+08  
78400   4.99990E+08  
79300   5.17409E+08  
80200   5.35227E+08  
81100   5.53450E+08  
82000   5.72082E+08  
82900   5.91128E+08  
83800   6.10591E+08  
84700   6.30477E+08  
85600   6.50791E+08  
86500   6.71535E+08  
87400   6.92717E+08  
88300   7.14339E+08  
89200   7.36406E+08  
90100   7.58923E+08  
91000   7.81894E+08  
91900   8.05325E+08  
92800   8.29218E+08  
93700   8.53580E+08  
94600   8.78415E+08  
95500   9.03726E+08  
96400   9.29519E+08  
97300   9.55798E+08  
98200   9.82568E+08  
99100   1.00983E+09  
100000   1.03760E+09    
