 Mh2     Width   
100   4.47283E-03  
109   4.87995E-03  
118   5.28673E-03  
127   5.69326E-03  
136   6.09957E-03  
145   6.50571E-03  
154   6.91172E-03  
163   2.45556E-02  
172   4.30782E-02  
181   5.86700E-02  
190   9.32645E-02  
199   1.21575E-01  
208   1.51260E-01  
217   1.83819E-01  
226   2.22149E-01  
235   2.48126E-01  
244   5.28488E-01  
253   1.00615E+00  
262   1.65482E+00  
271   2.50756E+00  
280   3.47462E+00  
289   4.61641E+00  
298   5.85265E+00  
307   7.34279E+00  
316   8.89683E+00  
325   1.05693E+01  
334   1.23744E+01  
343   1.43195E+01  
352   1.87869E+01  
361   2.45373E+01  
370   3.11429E+01  
379   3.83955E+01  
388   4.61677E+01  
397   5.43740E+01  
406   6.29535E+01  
415   7.18617E+01  
424   8.10653E+01  
433   9.05391E+01  
442   1.00264E+02  
451   1.10225E+02  
460   1.20412E+02  
469   1.30816E+02  
478   1.41432E+02  
487   1.52255E+02  
496   1.63283E+02  
505   1.74514E+02  
514   1.85947E+02  
523   1.97583E+02  
532   2.09424E+02  
541   2.21470E+02  
550   2.33723E+02  
559   2.46186E+02  
568   2.58862E+02  
577   2.71754E+02  
586   2.84863E+02  
595   2.98195E+02  
604   3.11753E+02  
613   3.25540E+02  
622   3.39560E+02  
631   3.53817E+02  
640   3.68315E+02  
649   3.83058E+02  
658   3.98050E+02  
667   4.13295E+02  
676   4.28797E+02  
685   4.44561E+02  
694   4.60590E+02  
703   4.76889E+02  
712   4.93462E+02  
721   5.10314E+02  
730   5.27448E+02  
739   5.44869E+02  
748   5.62581E+02  
757   5.80589E+02  
766   5.98896E+02  
775   6.17507E+02  
784   6.36425E+02  
793   6.55657E+02  
802   6.75205E+02  
811   6.95073E+02  
820   7.15266E+02  
829   7.35789E+02  
838   7.56645E+02  
847   7.77839E+02  
856   7.99374E+02  
865   8.21255E+02  
874   8.43487E+02  
883   8.66072E+02  
892   8.89016E+02  
901   9.12323E+02  
910   9.35996E+02  
919   9.60039E+02  
928   9.84458E+02  
937   1.00926E+03  
946   1.03444E+03  
955   1.06001E+03  
964   1.08596E+03  
973   1.11232E+03  
982   1.13907E+03  
991   1.16623E+03  
1000   1.19380E+03  
1090   1.49275E+03  
1180   1.83688E+03  
1270   2.23014E+03  
1360   2.67647E+03  
1450   3.17976E+03  
1540   3.74390E+03  
1630   4.37275E+03  
1720   5.07016E+03  
1810   5.83997E+03  
1900   6.68602E+03  
1990   7.61214E+03  
2080   8.62215E+03  
2170   9.71987E+03  
2260   1.09091E+04  
2350   1.21937E+04  
2440   1.35775E+04  
2530   1.50642E+04  
2620   1.66577E+04  
2710   1.83618E+04  
2800   2.01803E+04  
2890   2.21170E+04  
2980   2.41757E+04  
3070   2.63602E+04  
3160   2.86744E+04  
3250   3.11220E+04  
3340   3.37068E+04  
3430   3.64326E+04  
3520   3.93033E+04  
3610   4.23227E+04  
3700   4.54945E+04  
3790   4.88225E+04  
3880   5.23106E+04  
3970   5.59626E+04  
4060   5.97822E+04  
4150   6.37732E+04  
4240   6.79396E+04  
4330   7.22850E+04  
4420   7.68133E+04  
4510   8.15282E+04  
4600   8.64337E+04  
4690   9.15334E+04  
4780   9.68312E+04  
4870   1.02331E+05  
4960   1.08036E+05  
5050   1.13951E+05  
5140   1.20079E+05  
5230   1.26424E+05  
5320   1.32990E+05  
5410   1.39781E+05  
5500   1.46801E+05  
5590   1.54052E+05  
5680   1.61540E+05  
5770   1.69268E+05  
5860   1.77239E+05  
5950   1.85458E+05  
6040   1.93928E+05  
6130   2.02653E+05  
6220   2.11637E+05  
6310   2.20884E+05  
6400   2.30397E+05  
6490   2.40181E+05  
6580   2.50239E+05  
6670   2.60574E+05  
6760   2.71192E+05  
6850   2.82095E+05  
6940   2.93287E+05  
7030   3.04772E+05  
7120   3.16555E+05  
7210   3.28638E+05  
7300   3.41025E+05  
7390   3.53721E+05  
7480   3.66729E+05  
7570   3.80053E+05  
7660   3.93697E+05  
7750   4.07664E+05  
7840   4.21959E+05  
7930   4.36584E+05  
8020   4.51545E+05  
8110   4.66844E+05  
8200   4.82486E+05  
8290   4.98474E+05  
8380   5.14813E+05  
