 Mh2     Width   
8470   5.31505E+05  
8560   5.48555E+05  
8650   5.65967E+05  
8740   5.83744E+05  
8830   6.01890E+05  
8920   6.20409E+05  
9010   6.39305E+05  
9100   6.58582E+05  
9190   6.78242E+05  
9280   6.98291E+05  
9370   7.18732E+05  
9460   7.39569E+05  
9550   7.60805E+05  
9640   7.82445E+05  
9730   8.04491E+05  
9820   8.26949E+05  
9910   8.49822E+05  
10000   8.73113E+05 
10900   1.12988E+06  
11800   1.43269E+06  
12700   1.78533E+06  
13600   2.19162E+06  
14500   2.65535E+06  
15400   3.18033E+06  
16300   3.77035E+06  
17200   4.42921E+06  
18100   5.16073E+06  
19000   5.96869E+06  
19900   6.85691E+06  
20800   7.82918E+06  
21700   8.88930E+06  
22600   1.00411E+07  
23500   1.12883E+07  
24400   1.26348E+07  
25300   1.40843E+07  
26200   1.56408E+07  
27100   1.73078E+07  
28000   1.90894E+07  
28900   2.09892E+07  
29800   2.30110E+07  
30700   2.51588E+07  
31600   2.74362E+07  
32500   2.98470E+07  
33400   3.23952E+07  
34300   3.50844E+07  
35200   3.79185E+07  
36100   4.09012E+07  
37000   4.40365E+07  
37900   4.73280E+07  
38800   5.07796E+07  
39700   5.43951E+07  
40600   5.81782E+07  
41500   6.21329E+07  
42400   6.62628E+07  
43300   7.05718E+07  
44200   7.50637E+07  
45100   7.97423E+07  
46000   8.46114E+07  
46900   8.96748E+07  
47800   9.49362E+07  
48700   1.00400E+08  
49600   1.06069E+08  
50500   1.11947E+08  
51400   1.18039E+08  
52300   1.24348E+08  
53200   1.30878E+08  
54100   1.37632E+08  
55000   1.44615E+08  
55900   1.51831E+08  
56800   1.59282E+08  
57700   1.66974E+08  
58600   1.74909E+08  
59500   1.83091E+08  
60400   1.91525E+08  
61300   2.00214E+08  
62200   2.09162E+08  
63100   2.18373E+08  
64000   2.27850E+08  
64900   2.37598E+08  
65800   2.47619E+08  
66700   2.57919E+08  
67600   2.68500E+08  
68500   2.79367E+08  
69400   2.90523E+08  
70300   3.01972E+08  
71200   3.13718E+08  
72100   3.25765E+08  
73000   3.38117E+08  
73900   3.50776E+08  
74800   3.63748E+08  
75700   3.77036E+08  
76600   3.90643E+08  
77500   4.04575E+08  
78400   4.18833E+08  
79300   4.33423E+08  
80200   4.48347E+08  
81100   4.63610E+08  
82000   4.79216E+08  
82900   4.95168E+08  
83800   5.11471E+08  
84700   5.28127E+08  
85600   5.45141E+08  
86500   5.62516E+08  
87400   5.80257E+08  
88300   5.98367E+08  
89200   6.16850E+08  
90100   6.35710E+08  
91000   6.54950E+08  
91900   6.74575E+08  
92800   6.94588E+08  
93700   7.14993E+08  
94600   7.35793E+08  
95500   7.56993E+08  
96400   7.78597E+08  
97300   8.00608E+08  
98200   8.23029E+08  
99100   8.45866E+08  
100000   8.69121E+08   
